,no,tProfit,ave(%),,,
800,8473,-0.08,-0.6,0,,
801,1227,-0.09,-0.24,0,,
802,1324,-0.09,-0.22,0,,
803,1452,-0.09,-0.37,0,,
804,2376,-0.09,-0.43,0,,
805,2377,-0.09,-0.77,0,,
806,2413,-0.09,-0.41,0,,
807,2440,-0.09,-0.17,0,,
808,2453,-0.09,-0.21,0,,
809,2491,-0.09,-1.75,0,,
810,3561,-0.09,-0.92,0,,
811,4141,-0.09,-0.95,0,,
812,6152,-0.09,-0.29,0,,
813,1340,-0.1,-0.75,0,,
814,2324,-0.1,-0.26,0,,
815,2609,-0.1,-1.27,0,,
816,3021,-0.1,-0.58,0,,
817,3055,-0.1,-0.57,0,,
818,3535,-0.1,-0.28,0,,
819,5471,-0.1,-0.45,0,,
820,6285,-0.1,-0.45,0,,
821,6422,-0.1,-0.25,0,,
822,8046,-0.1,-0.27,0,,
823,9911,-0.1,-0.98,0,,
824,9931,-0.1,-0.73,0,,
825,1474,-0.11,-0.5,0,,
826,2497,-0.11,-0.49,0,,
827,2929,-0.11,-0.67,0,,
828,3094,-0.11,-0.65,0,,
829,6153,-0.11,-0.38,0,,
830,6176,-0.11,-0.28,0,,
831,1337,-0.12,-1.04,0,,
832,2884,-0.12,-0.52,0,,
833,9935,-0.12,-0.91,0,,
834,4414,-0.13,-0.49,0,,
835,1592,-0.14,-1.08,0,,
836,2429,-0.14,-4.69,0,,
837,3040,-0.14,-2.88,0,,
838,3308,-0.14,-0.82,0,,
839,4426,-0.14,-0.66,0,,
840,5906,-0.14,-1.75,0,,
841,6215,-0.14,-2.05,0,,
842,1438,-0.15,-0.68,0,,
843,2434,-0.15,-0.94,0,,
844,6531,-0.15,-14.95,0,,
845,2302,-0.16,-0.68,0,,
846,2443,-0.16,-1.83,0,,
847,3617,-0.16,-0.75,0,,
848,5259,-0.16,-0.82,0,,
849,1441,-0.17,-1.41,0,,
850,1533,-0.17,-1.2,0,,
851,9906,-0.17,-1.05,0,,
852,6172,-0.2,-0.38,0,,
853,9928,-0.2,-1.13,0,,
854,1527,-0.21,-1.33,0,,
855,3356,-0.25,-2.5,0,,
