,no,tProfit,ave(%),,,
188,3003,0.15,0.3,1,,
189,3380,0.15,0.25,1,,
190,4763,0.15,0.29,1,,
191,4977,0.15,0.54,1,,
192,6116,0.15,0.3,1,,
193,8374,0.15,0.73,1,,
194,8454,0.15,0.35,1,,
195,9910,0.15,0.86,1,,
196,1442,0.14,0.34,1,,
197,1617,0.14,0.26,1,,
198,1802,0.14,0.7,1,,
199,2007,0.14,1,1,,
200,2352,0.14,0.24,1,,
201,2436,0.14,0.32,1,,
202,2852,0.14,0.38,1,,
203,3005,0.14,1.05,1,,
204,3025,0.14,0.32,1,,
205,3579,0.14,0.97,1,,
206,3591,0.14,0.71,1,,
207,8131,0.14,0.27,1,,
208,8215,0.14,0.39,1,,
209,1477,0.13,0.4,1,,
210,1524,0.13,0.46,1,,
211,1530,0.13,0.36,1,,
212,1560,0.13,0.44,1,,
213,2427,0.13,0.42,1,,
214,2524,0.13,0.28,1,,
215,2731,0.13,0.53,1,,
216,2809,0.13,0.84,1,,
217,3014,0.13,0.36,1,,
218,3026,0.13,0.26,1,,
219,3528,0.13,0.29,1,,
220,4984,0.13,1.58,1,,
221,6177,0.13,0.37,1,,
222,6449,0.13,0.23,1,,
223,6452,0.13,0.57,1,,
224,8011,0.13,0.24,1,,
225,1215,0.12,0.33,1,,
226,1414,0.12,0.35,1,,
227,1582,0.12,0.26,1,,
228,2597,0.12,0.28,1,,
229,2618,0.12,0.46,1,,
230,2867,0.12,0.74,1,,
231,2913,0.12,0.25,1,,
232,3032,0.12,0.71,1,,
233,3536,0.12,0.28,1,,
234,5880,0.12,0.18,1,,
235,1507,0.11,0.27,1,,
236,1517,0.11,0.53,1,,
237,1709,0.11,0.29,1,,
238,2027,0.11,0.48,1,,
239,2354,0.11,0.32,1,,
240,2423,0.11,0.19,1,,
241,2424,0.11,0.68,1,,
242,2476,0.11,0.26,1,,
243,2511,0.11,0.33,1,,
244,2516,0.11,0.23,1,,
245,2889,0.11,0.23,1,,
246,3035,0.11,0.26,1,,
247,3051,0.11,0.94,1,,
248,4930,0.11,0.59,1,,
249,5519,0.11,0.32,1,,
250,6005,0.11,0.29,1,,
251,9136,0.11,0.39,1,,
252,9902,0.11,0.42,1,,
253,1410,0.1,0.38,1,,
254,1432,0.1,10,1,,
255,2008,0.1,0.39,1,,
256,2015,0.1,0.22,1,,
257,2104,0.1,0.22,1,,
258,2328,0.1,0.58,1,,
259,2478,0.1,0.42,1,,
260,2538,0.1,0.69,1,,
261,2607,0.1,0.46,1,,
262,2633,0.1,0.23,1,,
263,3016,0.1,0.36,1,,
264,3024,0.1,0.25,1,,
265,3034,0.1,0.37,1,,
266,3060,0.1,0.92,1,,
267,5388,0.1,0.3,1,,
268,6192,0.1,0.22,1,,
269,6235,0.1,0.16,1,,
270,8039,0.1,0.31,1,,
271,8261,0.1,0.74,1,,
272,1210,0.09,0.38,1,,
273,1789,0.09,0.37,1,,
274,1903,0.09,0.49,1,,
275,2539,0.09,0.19,1,,
276,2801,0.09,0.15,1,,
277,2850,0.09,0.27,1,,
278,2892,0.09,0.13,1,,
279,3013,0.09,0.29,1,,
280,4536,0.09,0.5,1,,
281,5522,0.09,0.18,1,,
282,5608,0.09,0.5,1,,
283,5706,0.09,0.46,1,,
284,6184,0.09,0.36,1,,
285,6257,0.09,0.38,1,,
286,6504,0.09,0.3,1,,
287,9927,0.09,0.24,1,,
288,1108,0.08,0.38,1,,
289,1232,0.08,0.19,1,,
290,1440,0.08,0.28,1,,
291,1701,0.08,0.27,1,,
292,1707,0.08,0.73,1,,
293,1723,0.08,0.17,1,,
294,1809,0.08,0.29,1,,
295,2421,0.08,0.32,1,,
296,2426,0.08,0.21,1,,
297,2438,0.08,0.83,1,,
298,2450,0.08,0.21,1,,
299,2489,0.08,0.23,1,,
300,2492,0.08,0.18,1,,
301,2499,0.08,0.42,1,,
302,2615,0.08,0.32,1,,
303,3694,0.08,0.28,1,,
304,4906,0.08,0.16,1,,
305,5269,0.08,0.25,1,,
306,6183,0.08,0.46,1,,
307,6409,0.08,0.26,1,,
308,8222,0.08,1.02,1,,
309,8464,0.08,1.28,1,,
310,9103,0.08,0.78,1,,
311,9105,0.08,0.96,1,,
312,9802,0.08,0.22,1,,
313,9933,0.08,0.34,1,,
314,9939,0.08,0.19,1,,
315,1402,0.07,0.3,1,,
316,1476,0.07,0.26,1,,
317,1583,0.07,0.23,1,,
318,1589,0.07,0.86,1,,
319,1730,0.07,0.12,1,,
320,1806,0.07,0.14,1,,
321,2024,0.07,0.55,1,,
322,2201,0.07,0.47,1,,
