"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="2524","京城","22.6","0.57","0.89","0.16","0.22"
="2527","宏璟","19.95","0.49","-0.14","-0.14","-0.19"
="2528","皇普","21.4","-0.05","-0.06","0.24","-0.04"
="2530","華建","14.5","-0.08","-0.2","-0.11","-0.11"
="2534","宏盛","24.15","0.05","0.97","1.46","1.09"
="2535","達欣工","17.8","0.31","1.38","0.49","0.53"
="2536","宏普","20.15","0.34","-0.86","0.45","-0.09"
="2537","聯上發","8.33","0.13","-0.17","-0.06","0.05"
="2538","基泰","10.3","-0.21","-0.05","-0.16","0.08"
="2539","櫻花建","28.5","0.01","2.53","0.68","0.27"
="2540","愛山林","22.3","1.06","0.4","0.05","0.36"
="2542","興富發","40.2","1.72","0.84","0.3","0.26"
="2543","皇昌","8.24","0.09","0.07","0.11","-0.06"
="2545","皇翔","30.7","0.6","-1.16","0.87","-0.27"
="2546","根基","18.2","0.88","0.17","0.36","1.04"
="2547","日勝生","13.5","-0.99","-0.58","-0.82","-0.35"
="2548","華固","69.3","4.09","4.94","0.27","0.89"
="2596","綠意","17","1.79","1.59","0.66","0.25"
="2597","潤弘","38.8","1.72","1.83","0.72","0.75"
="2601","益航","7.87","-1.21","-0.3","0.61","-0.23"
="2603","長榮","17.05","-0.33","-0.3","0.09","0.79"
="2605","新興","22","0.15","0.2","0.29","0.33"
="2606","裕民","35.25","0.01","0.29","-0.02","0.16"
="2607","榮運","13.9","0.16","0.19","0.16","0.17"
="2608","大榮","37.15","0.54","0.57","0.42","0.65"
="2609","陽明","12.2","-1.32","-1.17","-0.53","-0.25"
="2610","華航","11.25","0.09","-0.22","-0.69","0.32"
="2611","志信","7","-0.09","-0.37","-0.16","-0.05"
="2612","中航","28.5","0.09","-0.38","-0.37","-0.18"
="2613","中櫃","13.1","-0.06","0.19","-0.07","0.16"
="2614","東森","9.06","0.6","-0.35","-0.08","-0.11"
="2615","萬海","18.45","0.02","0.35","-0.09","0.4"
="2616","山隆","32.1","0.93","0.78","2.8","0.57"
="2617","台航","15.45","-0.04","-0.18","0.04","0.07"
="2618","長榮航","14.75","0.58","-0.29","-0.18","0.39"
="2633","台灣高鐵","23.8","0.16","0.18","0.29","0.23"
="2634","漢翔","35.3","0.48","0.64","0.12","0.46"
="2636","台驊投控","24.55","0.38","0.23","0.27","0.6"
="2637","慧洋-KY","27.85","0.04","1.02","0.08","-0.26"
="2640","大車隊","71.2","0.79","0.82","1.12","1.42"
="2641","正德","7.36","0.03","0","-0.07","0"
="2642","宅配通","31.95","0.08","0.07","0.52","0.48"
="2643","捷迅","35.7","1.65","0.81","0.47","0.25"
="2701","萬企","13.2","0.29","0.12","0.17","0.28"
="2702","華園","13.9","0.09","0.09","0.07","0.1"
="2704","國賓","22.9","0.44","0.25","0.32","0.22"
="2705","六福","8.05","-0.29","-0.18","-0.27","-0.33"
="2706","第一店","15.5","0.35","0.16","0.23","0.34"
="2707","晶華","151","1.55","2.41","1.84","1.99"
="2712","遠雄來","24.65","0.35","0.02","-0.07","-0.03"
="2718","晶悅","24","-0.15","0.22","0.02","-0.08"
="2719","燦星旅","9.9","-0.27","-1.04","-0.49","-1.07"
="2722","夏都","34.1","0.69","0.07","0","0.28"
="2723","美食-KY","360","3.34","3.4","3.22","2.92"
="2726","雅茗-KY","98","1.53","1.05","1.28","1.39"
="2727","王品","148.5","1.54","0.51","1.7","1.78"
="2729","瓦城","225","4.05","1.75","3.77","3.68"
="2731","雄獅","93.5","0.89","0.17","1.39","2.11"
="2732","六角","86.2","1.49","1.73","0.47","1.23"
="2734","易飛網","22.25","-0.4","-1.45","0.17","-0.09"
="2736","高野","16.6","-0.17","-0.15","0.43","-0.36"
="2739","寒舍","37.45","0.33","1.07","0.71","0.43"
="2740","天蔥","33.4","-0.45","-1.23","-1.9","-0.89"
="2748","雲品","69","0.67","0.9","1.02","0.68"
="2801","彰銀","16.25","0.36","0.31","0.32","0.33"
="2809","京城銀","32.95","1.21","1.05","1.08","1.32"
="2812","台中銀","9.57","0.29","0.31","0.27","0.24"
="2816","旺旺保","17.7","0.4","0.34","0.49","0.74"
="2820","華票","15.15","0.28","0.23","0.23","0.26"
="2823","中壽","28.5","0.91","0.12","0.01","0.66"
="2832","台產","20.2","0.57","0.28","0.58","0.63"
="2834","臺企銀","8.31","0.23","0.2","0.25","0.27"
="2836","高雄銀","9.08","0.21","0.19","0.22","0.19"
="2838","聯邦銀","8.98","0.3","0.24","0.25","0.24"
="2841","台開","10.15","-0.19","0.11","0.04","0.38"
="2845","遠東銀","9.36","0.26","0.25","0.24","0.29"
="2849","安泰銀","12.75","0.15","0.22","0.3","0.29"
="2850","新產","26.45","1.24","0.32","0.78","1.02"
="2851","中再保","15.7","0.57","0.25","0.47","0.58"
="2852","第一保","13.8","0.65","0.44","0.51","0.01"
="2855","統一證","14.6","0.55","-0.16","0.54","0.28"
="2856","元富證","8.37","0.2","-0.25","0.09","0.18"
="2867","三商壽","15.75","0.85","-0.71","-0.78","2.05"
="2880","華南金","16.5","0.27","0.34","0.22","0.33"
="2881","富邦金","48.1","1.62","0.79","0.97","0.76"
"2881A","富邦特","63.4","","","",""
="2882","國泰金","49.3","1.97","0.71","0.85","1.24"
"2882A","國泰特","62.1","","","",""
="2883","開發金","9.2","0.17","0.1","0.12","0.12"
="2884","玉山金","18.35","0.4","0.28","0.43","0.41"
="2885","元大金","13.3","0.35","0.26","0.26","0.32"
="2886","兆豐金","23.6","0.61","0.35","0.54","0.52"
="2887","台新金","13.3","0.31","0.16","0.31","0.31"
"2887E","台新戊特","52.4","","","",""
="2888","新光金","9.56","0.25","0.33","-0.29","0.44"
="2889","國票金","9.11","0.21","0.1","0.2","0.2"
="2890","永豐金","9.3","0.19","0.12","0.22","0.18"
="2891","中信金","19.4","0.5","0.24","0.52","0.47"
="2892","第一金","19.35","0.39","0.33","0.36","0.43"
="2897","王道銀行","8.74","0.21","0.09","0.19","0.12"
="2901","欣欣","26.15","0.24","0.05","0.08","0.08"
="2903","遠百","14.8","0.14","0.37","0.17","0.08"
="2904","匯僑","19.9","0.3","0.32","0.29","0.32"
="2905","三商","24.9","1.29","-0.26","-0.87","2.49"
="2906","高林","11.2","0","0.41","-0.09","0.16"
="2908","特力","22.8","0.3","0.2","0.6","0.26"
="2910","統領","28","0.16","0","0.09","0.16"
="2911","麗嬰房","11.25","-0.3","0.65","-0.14","-0.44"
="2912","統一超","280","2.71","1.91","2.64","2.68"
="2913","農林","15.8","0.19","-0.05","0.74","0.04"
="2915","潤泰全","50.4","2.46","2.9","0.52","1.19"
="2916","滿心","15.9","-0.13","0.79","0.26","0.14"
="2923","鼎固-KY","17.9","0.14","0.47","0.13","-0.12"
="2924","東凌-KY","57.2","0.02","0.38","-0.54","-0.25"
="2926","誠品生活","141.5","2.51","1.59","2.75","1.8"
="2928","紅馬-KY","64.5","0.04","2.92","1.24","0.89"
="2929","淘帝-KY","112.5","0.64","2.79","2.2","4.05"
="2936","客思達-KY","34","1.32","1.28","1.08","0.67"
="2937","集雅社","20.9","0.42","0.06","0.6","0.22"
="3002","歐格","13.6","0.2","0.14","0.32","0.13"
="3003","健和興","73.4","0.52","0.87","0.61","0.92"
="3004","豐達科","47.2","0.89","1.18","0.6","0.8"
="3005","神基","41.65","0.83","1.69","0.72","0.73"
="3006","晶豪科","47.8","0.3","0.79","0.39","1.16"
="3008","大立光","5740","51.89","63.06","36.41","35.14"
="3010","華立","54.2","1.15","1.06","1.26","1.17"
="3011","今皓","7.74","0.15","0.26","-0.21","-0.09"
="3013","晟銘電","20.2","0.45","0.62","0.06","0.27"
="3014","聯陽","35.75","0.87","0.45","0.56","0.59"
="3015","全漢","24.95","0.51","0.56","0.11","-0.04"
="3016","嘉晶","32","-0.07","0","0.06","0.19"
="3017","奇鋐","29.25","0.61","0.7","0.62","0.6"
="3018","同開","74.5","0.13","0.28","0.11","0.02"
="3019","亞光","115","0.57","0.14","0.11","0.7"
="3021","鴻名","15.65","0.31","0.25","0.14","0.43"
="3022","威強電","40.75","0.99","1.27","1.14","0.73"
="3023","信邦","83.2","1.31","1.1","1.25","1.51"
="3024","憶聲","6.91","0.17","3.01","0.02","-0.03"
="3025","星通","20.15","0.14","0.14","-0.27","0.18"
="3026","禾伸堂","61.2","0.58","0.46","0.56","0.58"
="3027","盛達","12.1","0.13","-0.27","-0.15","-0.24"
="3028","增你強","19.35","0.28","0.34","0.33","0.36"
="3029","零壹","19.65","0.67","0.55","0.13","0.39"
="3030","德律","41.3","0.27","0.31","0.32","0.66"
="3031","佰鴻","17.8","0.24","0.23","0.15","0.31"
="3032","偉訓","40.45","0.89","1.52","0.5","0.52"
="3033","威健","18.05","0.3","0.31","0.31","0.3"
="3034","聯詠","118.5","2.02","2.06","1.53","2.01"
="3035","智原","51.5","0.21","0.13","2.12","0.61"
="3036","文曄","47.1","1.4","0.42","1.06","1.15"
="3037","欣興","18.4","-0.2","0.62","0.07","-0.12"
="3038","全台","10.4","0.2","0.32","-0.25","0.21"
="3040","遠見","40.2","0.96","0.2","10.43","0.39"
="3041","揚智","20","-0.28","-1.27","-0.39","-0.34"
="3042","晶技","39.45","0.87","1","1.04","0.54"
="3043","科風","2.5","-0.07","0.33","-0.09","-0.41"
="3044","健鼎","100.5","1.86","2.34","1.71","1.98"
="3045","台灣大","107.5","1.46","1.26","1.46","1.4"
="3046","建碁","4.45","-0.58","-1.18","-0.53","-0.33"
="3047","訊舟","10.45","-0.13","0.15","-0.28","-0.06"
="3048","益登","17.15","0.64","0.08","0.24","0.35"
="3049","和鑫","11","0.27","0.48","0.07","0.02"
="3050","鈺德","11.6","0.26","-0.05","0.19","0.4"
="3051","力特","4.21","-0.53","0.33","-0.27","-0.05"
="3052","夆典","8.4","0.01","0.16","0.03","0.01"
="3054","立萬利","18.5","0.29","0.05","0.38","-0.14"
="3055","蔚華科","19.25","0.1","0.37","0.01","0.17"
="3056","總太","18.35","-0.1","-0.08","-0.02","2.82"
="3057","喬鼎","12.5","-0.33","-0.97","-0.82","-0.37"
="3058","立德","9.73","0.22","0.11","0.02","-0.01"
="3059","華晶科","27.8","0.05","0.33","0.12","-0.06"
="3060","銘異","30.35","0.33","0.43","0.21","0.03"
="3062","建漢","18.25","0.14","0.31","0.06","0.1"
="3064","泰偉","12.5","-1.18","-1.26","-1.38","-0.9"
="3066","李洲","7.4","-0.34","-0.39","-0.04","-0.09"
="3067","全域","12.5","-0.08","0.45","-0.15","-0.08"
="3068","美磊","61.5","1.55","1.44","1.08","0.92"
="3071","協禧","23.3","0.25","0.13","0.22","0.29"
="3073","凱柏實業","9.2","0.04","0","-0.17","-0.11"
="3078","僑威","34.65","0.94","1.14","0.36","0.63"
="3081","聯亞","428","2.08","0.94","0.97","1.62"
="3083","網龍","39.9","-0.21","0.02","0","0"
="3085","新零售","28.3","-0.1","-0.64","-0.58","-0.4"
="3086","華義","16","-0.83","-1.23","-1","-1.21"
="3088","艾訊","50.9","1.15","1.09","0.35","9.66"
="3089","遠昇","6.39","-0.34","-0.03","-0.12","-1.22"
="3090","日電貿","29","0.6","0.67","0.8","0.6"
="3092","鴻碩","48.65","1.23","1.69","1.11","1.52"
="3093","港建","29.3","0.51","0.13","0.04","0.48"
="3094","聯傑","23","0.16","0.27","0.07","0.24"
="3095","及成","2.36","-0.33","0.5","0.11","0.09"
="3105","穩懋","265","2.14","1.09","1.23","1.85"
="3114","好德","15.7","0.17","0.56","-0.28","0.62"
="3115","寶島極","11.4","-0.07","0","0.2","-0.07"
="3118","進階","33.05","0.34","0.76","0.54","0.66"
="3122","笙泉","16.8","-0.11","0.27","-0.02","-0.12"
="3128","昇銳","11.55","-0.04","0.17","-0.14","-0.04"
="3130","一零四","153.5","2.67","1.36","2.16","2.61"
="3131","弘塑","192.5","2.8","6.36","2.9","6.18"
="3141","晶宏","37.2","0.41","0.28","0.07","0.23"
="3144","新揚科","25.15","0.36","0.54","0.17","0.44"
="3149","正達","23.2","-1.1","-1.64","0.07","0.28"
="3152","璟德","358","3.05","3.38","2.8","3.34"
="3162","精確","31.8","-1.52","-1.17","-0.53","0.04"
="3163","波若威","36.95","1.63","1.01","0.52","-0.37"
="3164","景岳","24.05","-0.11","-2.44","-0.03","0.46"
="3167","大量","46.65","0.47","0.71","0.19","1.24"
="3169","亞信","30.9","0.36","0.33","0.37","0.53"
="3171","新洲","14.15","0.32","0.28","0.08","0.19"
="3176","基亞","39.4","-1.08","-0.92","-0.81","-0.71"
="3188","鑫龍騰","18","-0.11","-0.13","0.2","0.21"
="3189","景碩","74.8","1.41","1.09","0.31","0.14"
="3191","和進","16.85","-2.31","-0.7","-0.14","-0.24"
="3202","樺晟","24.1","0.26","0.36","-0.11","0.01"
="3205","佰研","70.2","0.13","0.65","-0.62","-0.33"
="3206","志豐","29.05","-0.18","0.48","0.42","0.48"
="3207","耀勝","9.2","0.15","-0.05","-0.71","-0.55"
="3209","全科","22.2","0.49","0.3","0.54","0.06"
="3211","順達","48.45","0.81","0.71","0.62","0.32"
="3213","茂訊","57.3","1.02","2.4","1.29","1.58"
="3217","優群","34.15","1","0.75","0.28","0.67"
="3218","大學光","26.55","0.18","0.72","0.16","0.44"
="3221","台嘉碩","17.55","0.11","0.26","-0.18","0.15"
="3224","三顧","39.9","-0.48","-0.03","-0.16","0.16"
="3226","至寶電","53.5","0.32","1.07","0.09","0.54"
="3227","原相","134.5","0.26","0.53","0.65","1.48"
="3228","金麗科","18","0.02","-0.11","-0.19","-0.21"
="3229","晟鈦","17.85","-0.65","-0.36","-0.19","0.22"
="3230","錦明","6.29","-0.25","-0.02","-0.17","-0.21"
="3231","緯創","26.2","0.21","0.59","0.22","0.31"
="3232","昱捷","41.1","-0.35","-0.31","-0.21","0.29"
="3234","光環","34.85","-0.34","-0.58","-2.24","-1.64"
="3236","千如","43.3","0.53","0.48","0.38","0.76"
="3252","海灣","19.7","1.57","-1.21","-0.72","0.23"
="3257","虹冠電","53.3","0.45","0.29","0.06","0.51"
="3259","鑫創","22.8","-0.27","0.08","-0.31","-0.55"
="3260","威剛","86.8","1.65","3.6","3.62","1.42"
="3264","欣銓","38.3","0.61","0.59","0.49","0.54"
="3265","台星科","25.8","0.49","3.87","1.76","-0.61"
="3266","昇陽","11.55","-0.13","0.36","-0.02","-0.04"
="3268","海德威","13","-0.45","-0.02","-0.99","0.05"
="3272","東碩","58.5","0.65","1.46","0.02","1.38"
="3276","宇環","15.05","0.49","0.9","0.02","0.21"
="3284","太普高","18.85","0.25","0.56","0.87","0.25"
="3285","微端","19.9","0.19","0.54","0","0.39"
="3287","廣寰科","6.45","-0.08","-0.03","-0.13","-0.31"
="3288","點晶","3.5","-0.51","-0.45","-0.19","-0.14"
="3289","宜特","117.5","0.84","0.4","0.55","1.14"
="3290","東浦","15.5","0.06","0.78","0.15","0.1"
="3293","鈊象","157","2.53","3.08","2.27","3.47"
="3294","英濟","28.2","0.57","0.6","-0.22","0.4"
="3296","勝德","17.05","0.29","0.83","-0.22","-0.01"
="3297","杭特","14.55","-0.33","-0.31","-0.66","-0.26"
="3299","帛漢","67","1.32","1.67","1.24","1.41"
="3303","岱稜","19","0.34","0.54","0.03","-0.78"
="3305","昇貿","26.95","0.66","0.26","0.22","0.23"
="3306","鼎天","23","0.07","-0.59","-0.18","-0.18"
="3308","聯德","8.14","-0.4","-0.07","-0.31","-0.08"
="3311","閎暉","18.95","-0.12","-0.13","-0.36","-0.15"
="3312","弘憶股","6.8","0.12","0","0.07","-2.37"
="3313","斐成","41.35","-0.25","-0.73","-0.74","-0.05"
="3317","尼克森","36.2","0.11","0.47","0.12","0.12"
="3321","同泰","15.25","-0.97","-0.27","-1.03","-0.74"
="3322","建舜電","11.4","-0.18","-0.21","-0.35","-0.1"
="3323","加百裕","40.5","0.34","0.55","0.12","0.79"
="3324","雙鴻","75.4","2.5","2.65","0.11","1.2"
="3325","旭品","15.8","0.13","0.44","-0.26","-0.41"
="3332","幸康","47.5","0.74","0.36","0.88","1.15"
="3338","泰碩","29.8","0.89","1.1","-0.18","0.39"
="3339","泰谷","7.61","-1.85","-0.1","-0.45","-0.25"
="3346","麗清","75.5","0.55","1.62","1.25","0.34"
="3354","律勝","13.45","-0.06","0.47","-0.53","0.14"
="3356","奇偶","37.4","0.12","0.39","-1.24","-0.16"
="3360","尚立","15.45","0.46","0.47","0.26","0.06"
="3362","先進光","75.9","0.38","0.62","-0.11","0.63"
="3363","上詮","29.9","0.34","0.39","0.5","0.31"
="3372","典範","6.23","-0.25","-0.11","-0.44","-0.28"
="3373","熱映","21.9","0.12","-0.27","0.01","0.29"
="3374","精材","69.6","-0.54","-1.01","-0.92","-1.33"
="3376","新日興","81.9","1.36","2.71","0.4","1.36"
="3379","彬台","12.4","-0.73","0.91","-0.64","-0.45"
="3380","明泰","23.75","0.22","0.28","0.4","0.34"
="3383","新世紀","2.82","-1.18","-3.1","-0.75","-0.48"
="3388","崇越電","68.9","1.55","1.07","1.22","1.21"
="3390","旭軟","25.25","-0.23","0.29","-0.52","0.23"
="3402","漢科","24.55","0.54","0.57","0.46","0.9"
="3406","玉晶光","326.5","1.15","3.18","0.08","1.48"
="3413","京鼎","206","2.62","3.32","2.62","4.09"
="3416","融程電","51.2","0.64","0.69","0.5","0.49"
="3419","譁裕","18.3","0.42","0.65","0.09","0.09"
="3426","台興","71.6","1.32","1.52","0.93","1.32"
="3428","光燿科","62.1","0.62","1.06","-0.16","1.2"
="3431","長天","8.49","-0.25","-0.7","1.71","-0.65"
="3432","台端","12.5","-0.07","0.19","-0.47","0.16"
="3434","哲固","13","0.2","0.43","-0.25","0.1"
="3437","榮創","36.4","0.26","0.18","-0.14","0.01"
="3438","類比科","22.8","-0.44","0.06","-0.35","-0.13"
="3441","聯一光","43.2","-0.19","0.13","-0.2","0.01"
="3443","創意","262.5","1.01","1.16","1.07","1.29"
="3444","利機","25.5","0.21","0.42","0.25","0.28"
="3450","聯鈞","115.5","2.24","2.7","1.1","1.6"
="3452","益通","9.57","-0.59","-0.26","-0.22","-0.18"
="3454","晶睿","102.5","1.37","2.01","0.55","1.58"
="3455","由田","56.2","1.48","3.55","-1.41","1.84"
="3465","祥業","14","0.06","0.5","-0.54","-0.6"
="3466","致振","16.15","-0.42","0.27","-0.19","-0.49"
="3479","安勤","49.65","1.04","0.65","0.41","0.58"
="3481","群創","12.8","0.31","1.1","1.19","1.22"
="3483","力致","24.3","0.72","1.54","-0.47","-0.54"
="3484","崧騰","39.7","0.93","0.72","0.63","0.52"
="3489","森寶","9.08","1.02","0.53","-0.13","0.06"
="3490","單井","30.65","-0.39","-0.45","-0.65","0.19"
="3491","昇達科","70.5","1.01","1.55","1.16","1.52"
="3492","長盛","34.6","0.82","0.81","0.9","1.02"
="3494","誠研","12.2","-0.39","-0.35","-0.31","-0.12"
="3498","陽程","53.5","-0.41","0.18","0.09","0.57"
="3499","環天科","18.6","-0.09","0.26","-0.21","0.44"
="3501","維熹","64","1.4","1.85","0.87","1.21"
="3504","揚明光","56.5","-0.25","-0.23","-0.58","-0.39"
="3508","位速","42.5","-1.84","-1.8","-1.03","-0.77"
="3511","矽瑪","18.05","-1.73","-0.47","-0.71","-0.36"
="3512","能緹","41.4","-0.17","-0.32","-0.32","0.11"
="3514","昱晶","19.1","-5.71","-0.68","-1.62","-0.65"
="3515","華擎","77.3","0.51","0.08","0.82","0.7"
="3518","柏騰","30.2","-0.93","-1.67","-0.81","-0.61"
="3519","綠能","19.4","-2.18","-1.29","-0.55","-1.08"
="3520","振維","44.6","-0.18","-0.5","-0.26","-0.18"
="3521","鴻翊","8.66","-0.07","0.1","-0.44","-0.3"
="3522","宏森","38.9","-0.12","-0.49","-0.3","-0.66"
="3523","迎輝","9.19","-1.1","-1.84","-1.04","-1.01"
="3526","凡甲","76.5","1.96","2.08","0.43","0.93"
="3527","聚積","67.5","1.8","1.04","0.85","0.44"
="3528","安馳","37.05","0.6","0.52","0.63","0.82"
="3529","力旺","361","1.72","1.75","2","1.79"
="3531","先益","28.5","0.59","0.54","0.45","0.85"
="3532","台勝科","102","0.17","0.28","0.38","0.69"
="3533","嘉澤","189","2.3","3.44","2.11","2.32"
="3535","晶彩科","12.1","-0.57","1.08","-0.91","-0.37"
="3536","誠創","19.25","-0.07","0.55","0.06","0.05"
="3537","堡達","20.6","0.34","0.66","0.16","0.52"
="3540","曜越","32.2","0.38","0.23","0.48","0.32"
="3541","西柏","122.5","1.4","1.86","1.1","1.47"
="3545","敦泰","30.1","0.32","0.5","-0.01","0.12"
="3546","宇峻","99","1.15","1.72","0.73","1.19"
="3548","兆利","55.3","2.55","1.16","1.57","1.54"
="3550","聯穎","16.6","0.23","0.51","0.06","0.38"
="3551","世禾","43.05","0.3","0.3","0.38","0.74"
="3552","同致","162","2.8","3.23","0.99","1.37"
="3555","重鳥鵬","68.8","-0.17","0.25","0.13","0.45"
="3556","禾瑞亞","49.85","0.83","0.79","0.88","1.02"
="3557","嘉威","11.55","-0.37","-0.18","-0.31","-0.11"
="3558","神準","129","2.32","2.67","1.95","1.52"
="3561","昇陽光電","15.55","-1","-1.2","-0.88","-0.75"
="3562","頂晶科","13.5","-1.47","-0.81","-1.78","-0.34"
="3563","牧德","173","1.53","1.55","1.41","2.15"
="3564","其陽","26.35","0.68","0.73","-1.78","-1.03"
="3567","逸昌","32.4","0.76","0.89","0.73","0.57"
="3570","大塚","46.5","1.65","0.56","0.45","0.26"
="3576","新日光","15.15","-1.82","-3.76","-1.26","-0.57"
="3577","泓格","33.3","1.68","0.66","0.3","0.44"
="3579","尚志","16.55","-4.65","-1.98","-0.82","-1.09"
="3580","友威科","72.1","0.14","0.1","-0.15","0.41"
="3581","博磊","22.55","0.06","0.48","0.04","0.26"
="3583","辛耘","75","0.69","0.91","0.21","0.91"
="3587","閎康","86.1","1.5","1.08","0.5","1.23"
="3588","通嘉","28.95","0.66","0.65","0.04","0.05"
="3591","艾笛森","15.65","0.16","-0.17","-0.2","-0.21"
="3593","力銘","12.8","-0.04","-0.85","-0.24","0.01"
="3594","磐儀","29.15","-0.46","0.58","-1.15","0.68"
="3596","智易","49.25","1.79","1.27","0.26","1.21"
="3605","宏致","27.45","0.62","0.8","-0.13","0.2"
="3607","谷崧","29.45","-0.46","-0.11","-1.67","-0.76"
="3609","東林","14.9","-0.03","-1.76","0.01","0.29"
="3611","鼎翰","229.5","3.11","4.25","2.98","4.37"
="3615","安可","24.3","0.51","0.19","0.07","0.27"
="3617","碩天","112","2.08","2.79","0.62","2.67"
="3622","洋華","17","-0.29","-0.14","-0.55","0.11"
="3623","富晶通","43.2","1.13","1.26","0.57","0.8"
="3624","光頡","21.6","0","0.17","-0.16","0.39"
="3625","西勝","36.7","0.75","0.72","0.25","0.43"
="3628","盈正","40","0.16","1.38","-0.08","0.42"
="3629","群富通","18","-1.66","-3.31","-0.9","1.69"
="3630","新鉅科","50","-1.5","-0.66","-0.55","-1.35"
="3631","晟楠","32.8","0","0.07","-0.32","0.02"
="3632","研勤","15.8","-1.22","-0.74","-0.74","-0.35"
="3642","駿熠電","20.35","-0.66","-1.32","-0.64","-10.4"
="3645","達邁","47.75","1.12","0.69","0.57","0.33"
="3646","艾恩特","19","0.34","0.25","0.2","-0.06"
="3652","精聯","24.7","0.41","0.28","-0.16","0.19"
="3653","健策","71.5","0.28","0.91","0.05","0.84"
="3661","世芯-KY","98.1","-0.42","0.78","0.61","1.53"
="3663","鑫科","15.95","0.22","0.1","-0.01","0.15"
="3664","安瑞-KY","27","-0.27","0.46","-0.55","-0.86"
="3665","貿聯-KY","270.5","2.52","2.89","1.92","2.81"
="3666","光耀","31.6","-0.17","0.54","-0.78","0.51"
="3669","圓展","20.4","0.66","0.24","0.04","0.15"
="3672","康聯訊","23.2","0.61","0.51","0.25","0.38"
="3673","TPK-KY","86.1","1.99","0.86","1.79","0.95"
="3675","德微","60.3","0.52","0.68","0.6","0.91"
="3679","新至陞","69.7","2.21","2.35","1.36","1.28"
="3680","家登","38.7","0.07","0.77","0.94","-0.86"
="3682","亞太電","9.76","-0.31","-0.34","-0.21","-0.14"
="3684","榮昌","40","0.55","1.22","0.35","1.05"
="3685","元創精密","59.6","0.03","0.08","-0.12","-0.04"
="3686","達能","7.52","-0.66","-1.03","-0.55","-0.57"
="3687","歐買尬","40","-2.98","-2.7","-2.15","-0.86"
="3689","湧德","52.2","0.86","1.41","0.71","1.02"
="3691","碩禾","284.5","9.19","0.23","0.64","1.9"
="3693","營邦","43.5","1.09","1.86","-1","-1.35"
="3694","海華","16.2","0.35","0.12","-0.17","0.2"
="3698","隆達","23.3","-0.06","-0.98","0","0.1"
="3701","大眾控","6.59","0.11","0.07","0.36","0.04"
="3702","大聯大","41.75","1.12","0.2","1.07","1.02"
="3703","欣陸","14.7","0.27","0.83","0.36","0.45"
="3704","合勤控","14","-0.14","0.35","-0.67","-0.24"
="3705","永信","40.3","0.37","0.39","0.63","0.5"
="3706","神達","36.8","1.01","1.44","0.68","0.79"
="3707","漢磊","25.05","-0.72","-0.53","-0.57","-0.11"
="3708","上緯投控","72.3","0.03","0.54","0.01","1.28"
="4102","永日","16.9","-0.68","-0.22","-0.3","-0.3"
="4103","百略","73.8","2.28","1.76","0.35","0.98"
="4104","佳醫","45.25","0.74","0.63","1","0.77"
="4105","東洋","97.5","0.85","1.39","0.89","0.98"
="4106","雃博","31.35","0.32","0.19","0.32","0.58"
="4107","邦特","93.8","1.17","1.23","0.7","1.03"
="4108","懷特","25.5","-0.18","-0.35","-0.25","-0.22"
="4109","穆拉德加捷","17.15","-0.07","0.08","0.04","-0.13"
="4111","濟生","24.8","0.37","0.45","0.38","0.34"
="4113","聯上","10.45","-0.01","-0.05","0.12","0.08"
="4114","健喬","26.4","0.03","-0.12","0","-0.16"
="4116","明基醫","38.85","0.2","0.33","0.14","0.28"
="4119","旭富","59.4","1.19","0.44","0.65","0.5"
="4120","友華","71","0.94","1.61","2.02","1.24"
="4121","優盛","12","-0.09","0.66","-0.4","0.29"
="4123","晟德","53.7","0.7","-0.26","-0.07","-0.07"
="4126","太醫","82","1.18","0.91","0.92","0.84"
="4127","天良","11.65","-0.43","-0.64","-0.38","-5.48"
="4128","中天","20.7","-0.08","-0.17","1.68","-0.26"
="4129","聯合","69.6","-0.13","0.48","-0.05","1.19"
="4130","健亞","35.4","0.08","0.02","0.14","0.66"
="4131","晶宇","9.26","-0.19","-0.23","-0.13","-0.16"
="4133","亞諾法","39.05","0.14","0.29","0.2","0.29"
="4137","麗豐-KY","114.5","1.64","1.55","1.18","2.02"
="4138","曜亞","50.7","0.95","0.89","0.94","0.99"
="4139","馬光-KY","52.8","-0.27","-0.43","0.01","0.18"
="4141","龍燈-KY","29.2","-0.28","1.51","-1.03","-0.93"
="4142","國光生","20.6","-0.55","-0.91","-0.84","-0.63"
="4144","康聯-KY","34.95","0.94","0.6","1.09","0.69"
="4147","中裕","215","-0.2","-0.44","-0.32","-0.69"
="4148","全宇生技-KY","124.5","","","1.23","1.67"
="4152","台微體","75.6","-4.24","-4.87","-2.87","-4.09"
="4153","鈺緯","30","-0.36","-2.02","-1.35","0.71"
="4154","康樂-KY","22.05","1.56","-0.74","-0.43","-0.41"
="4157","太景*-KY","21.3","-0.09","-0.08","-0.08","1.36"
="4160","創源","28.3","0.08","-0.28","0.27","0.02"
="4161","聿新科","45.25","-0.02","0.12","-0.56","0.08"
="4162","智擎","158","-0.75","5.05","-1.02","-0.29"
="4163","鐿鈦","98.5","1.66","2.09","0.44","1.07"
="4164","承業醫","37.45","0.11","0.89","0.52","0.15"
="4167","展旺","30.05","-0.2","0.08","0.05","0.19"
