"代號 ▲","名稱","成交","16Q3EPS(元)","16Q4EPS(元)","17Q1EPS(元)","17Q2EPS(元)"
="1459","聯發","8.7","-0.08","-1.19","-0.18","0"
="1460","宏遠","14.45","0.24","0.49","0.1","0.09"
="1463","強盛","27.15","0.23","3.31","1.98","0.42"
="1464","得力","25.7","0.32","0.5","0.35","0.26"
="1465","偉全","16.05","0.07","0.39","-0.09","0.3"
="1466","聚隆","12","-0.12","-0.17","0.18","-0.13"
="1467","南緯","11.05","0.25","-0.26","-0.28","-0.21"
="1468","昶和","10.15","-0.19","-0.1","-0.08","-0.03"
="1469","理隆","13.85","-0.16","-0.35","-0.33","-0.03"
="1470","大統染","18.2","0.03","0.18","0.11","0.13"
="1471","首利","4.92","-0.44","-0.67","-0.54","-0.55"
="1472","三洋紡","36","-0.06","0.13","-0.34","0.02"
="1473","台南","23.3","0.58","-0.31","0.42","-0.15"
="1474","弘裕","11.6","0.17","0.27","0.18","0.2"
="1476","儒鴻","322.5","3.15","5.08","1.01","2.94"
="1477","聚陽","132.5","1.89","1","1.52","0.98"
="1503","士電","40.5","0.7","0.4","0.77","0.55"
="1504","東元","28.05","0.45","0.44","0.27","0.55"
="1506","正道","22.6","0.01","0.07","0.18","0"
="1507","永大","58.9","1.1","0.62","0.92","0.82"
="1512","瑞利","14.7","-0.38","0.16","-0.57","-0.55"
="1513","中興電","20.95","0.5","0.04","0.25","0.23"
="1514","亞力","10.85","0.05","-0.03","0.01","0.16"
="1515","力山","68.6","0.42","0.05","0.02","0.18"
="1516","川飛","18.4","0.03","0.11","0.13","0.25"
="1517","利奇","12.25","0.07","-0.09","-0.25","0.01"
="1519","華城","20.95","0.44","0.01","0.14","0.23"
="1521","大億","81.8","1.03","1.94","1.82","1.63"
="1522","堤維西","34.9","0.81","0.75","0.89","0.62"
="1524","耿鼎","11.5","0.17","0.46","0.06","0.24"
="1525","江申","102","1.78","1.92","1.82","1.88"
="1526","日馳","48.3","0.08","0.73","-0.57","1.26"
="1527","鑽全","80.7","0.18","2.9","-2.08","2.06"
="1528","恩德","13.5","0.05","0.21","-0.09","0.24"
="1529","樂士","3.1","-0.02","-0.17","0.03","0.01"
="1530","亞崴","33","0.19","0.54","-0.25","0.67"
="1531","高林股","21","0.11","0.23","0.06","0.3"
="1532","勤美","28.25","0.97","0.8","0.43","0.44"
="1533","車王電","40.1","0.21","0.25","-0.24","0.56"
="1535","中宇","42.35","0.49","0.4","0.16","0.26"
="1536","和大","134","0.96","1.42","1.08","1.34"
="1537","廣隆","144.5","2.76","3.3","2.2","3.27"
="1538","正峰新","5.55","0.01","-1.24","0.28","-1.31"
="1539","巨庭","21.9","0.24","1.18","-0.43","0.72"
="1540","喬福","14.85","0","0.26","-0.31","0.37"
="1541","錩泰","48.95","0.69","1.44","-0.05","0.56"
="1558","伸興","127","4.26","4.1","-1.37","4.11"
="1560","中砂","77.4","0.92","1.28","1.07","1.38"
="1565","精華","859","8.83","9.6","4.83","8.99"
="1566","捷邦","19.5","0.19","0.82","0.15","0.18"
="1568","倉佑","39.4","0.32","0.69","0.24","0.63"
="1569","濱川","37.8","0.8","0.97","0.74","0.51"
="1570","力肯","16.55","0.21","0.66","0.17","0.37"
="1580","新麥","152","3.57","3.46","1.44","2.79"
="1582","信錦","69.2","2","1.68","1.35","1.66"
="1583","程泰","63.1","0.31","1.03","-0.16","1.04"
="1584","精剛","11.75","0.01","-0.01","-0.17","-0.27"
="1586","和勤","44.4","-0.44","0.3","0.09","-0.06"
="1589","永冠-KY","61.5","1.34","1.88","0.6","1.68"
="1590","亞德客-KY","459.5","3.04","1.85","3.5","5.51"
="1591","駿吉-KY","34","0.43","0.79","0.2","-0.1"
="1592","英瑞-KY","30.85","1.21","0.67","0.9","0.61"
="1593","祺驊","42.85","0.93","1","0.31","0.84"
="1595","川寶","68.9","0.49","-0.59","0.58","1.22"
="1597","直得","102.5","0.18","0.37","0.21","1.03"
="1598","岱宇","39.2","0.23","2.08","-0.91","-0.56"
="1599","宏佳騰","42.1","2.43","0.89","0.42","0.3"
="1603","華電","26.85","0.8","-0.21","0.57","0.18"
="1604","聲寶","14.05","0.27","0.12","0.2","0.36"
="1605","華新","16.3","0.42","0.35","0.26","0.2"
="1608","華榮","10.8","0.22","0.08","0.26","0.19"
="1609","大亞","10.45","0.22","0.02","0.05","0.18"
="1611","中電","9.7","-0.08","-1.96","0.03","-0.16"
="1612","宏泰","10.85","0.17","0.08","0.2","0.22"
="1614","三洋電","23.3","0.35","0.08","0.12","0.25"
="1615","大山","14.1","0.28","0.37","0.06","0.42"
="1616","億泰","5.68","0.15","-0.13","-0.06","0.06"
="1617","榮星","13.65","0.16","0.38","0","0.26"
="1618","合機","9.62","0","0.05","-0.03","0.28"
="1626","艾美特-KY","27.45","-0.54","0.63","0.31","1.04"
="1701","中化","17.95","0.23","0.11","0.32","0.21"
="1702","南僑","61.2","1.22","1.09","0.86","1.12"
="1704","榮化","41.65","1.1","1.3","0.99","1.09"
="1707","葡萄王","183","2.51","2.92","1.92","2.38"
="1708","東鹼","29.45","0.58","1.42","0.51","0.68"
="1709","和益","18.35","0.47","0.46","0.32","0.5"
="1710","東聯","28.5","-0.33","0.07","0.52","0.01"
="1711","永光","18.65","0.26","0.07","0.17","0.1"
="1712","興農","18.2","0.26","0.47","0.38","0.51"
="1713","國化","16.65","0.14","0.2","0.12","0.19"
="1714","和桐","9.52","0.01","0.16","0.07","0.06"
="1717","長興","30.75","0.67","0.41","0.44","0.26"
="1718","中纖","9.07","-0.08","0.12","-0.01","-0.02"
="1720","生達","33.3","0.61","0.44","0.33","0.56"
="1721","三晃","12.85","0.09","0.46","0.05","-0.05"
="1722","台肥","39.3","0.17","-0.63","0.52","0.48"
="1723","中碳","123.5","1.1","1.29","1.14","1.16"
="1724","台硝","14.1","0.43","0.3","0.02","0.22"
="1725","元禎","14.8","0.47","0.29","0.14","0.21"
="1726","永記","80.7","1.66","1.67","1.3","1.29"
="1727","中華化","13.3","0.22","0.3","0.1","0.16"
="1730","花仙子","41.5","0.89","0.77","0.76","0.74"
="1731","美吾華","13.45","0.26","0.21","0.16","0.15"
="1732","毛寶","12.4","-0.13","-0.28","-0.08","0.02"
="1733","五鼎","32.8","0.01","-1.23","-0.39","0.58"
="1734","杏輝","21.7","-0.04","0.25","-0.05","0.06"
="1735","日勝化","18.75","0.17","0.14","0.02","0.07"
="1736","喬山","33.9","0.54","1.87","-0.2","-0.72"
="1737","臺鹽","28.15","0.5","0.34","0.33","0.57"
="1742","台蠟","10.8","-1.01","-0.91","0.04","0.01"
="1752","南光","37.1","0.42","0.68","0.64","0.35"
="1762","中化生","22.15","0.18","0.37","-0.15","-0.16"
="1773","勝一","77.5","1.33","1.43","1.32","1.44"
="1776","展宇","21.5","0.16","0.65","0.02","0.59"
="1777","生泰","82","0.82","1.31","0.09","1.1"
="1781","合世","12.35","-0.21","-0.28","-0.55","-0.31"
="1783","和康生","24.3","-0.02","0.05","-0.06","0.12"
="1784","訊聯","28.05","-0.06","-0.08","-0.03","-0.06"
="1785","光洋科","15.6","-0.09","-0.37","0","0.11"
="1786","科妍","40.15","-0.93","0.42","-0.04","0.02"
="1787","福盈科","24.4","0.33","0.52","0.4","0.56"
="1788","杏昌","96.7","1.52","1.85","1.72","1.81"
="1789","神隆","36.5","0.22","0.19","0.22","0.11"
="1795","美時","52","-0.14","-0.76","-0.3","0.15"
="1799","易威","22.2","-0.91","-1.61","-0.94","-0.78"
="1802","台玻","15.8","-0.12","-0.14","0","0.13"
="1805","寶徠","13.05","-0.22","-0.36","-0.21","-0.29"
="1806","冠軍","8.15","-0.06","0.1","-0.49","0.13"
="1808","潤隆","36.55","2.04","1.59","0.02","0.15"
="1809","中釉","12.4","0.09","-0.01","-0.22","0.15"
