"","No","Name"
"245","4131","晶宇"
"246","4138","曜亞"
"247","4139","馬光-KY"
"248","4147","中裕"
"249","4152","台微體"
"250","4153","鈺緯"
"251","4154","康樂-KY"
"252","4157","太景*-KY"
"253","4160","創源"
"254","4161","聿新科"
"255","4162","智擎"
"256","4163","鐿鈦"
"257","4167","展旺"
"258","4168","醣聯"
"259","4171","瑞基"
"260","4173","久裕"
"261","4174","浩鼎"
"262","4175","杏一"
"263","4180","安成藥"
"264","4183","福永生技"
"265","4188","安克"
"266","4192","杏國"
"267","4198","環瑞醫"
"268","4205","中華食"
"269","4207","環泰"
"270","4303","信立"
"271","4304","勝昱"
"272","4305","世坤"
"273","4401","東隆興"
"274","4402","福大"
"275","4406","新昕纖"
"276","4413","飛寶企業"
"277","4416","三圓"
"278","4417","金洲"
"279","4419","元勝"
"280","4420","光明"
"281","4429","聚紡"
"282","4430","耀億"
"283","4432","銘旺實"
"284","4433","興采"
"285","4502","健信"
"286","4503","金雨"
"287","4506","崇友"
"288","4510","高鋒"
"289","4513","福裕"
"290","4523","永彰"
"291","4527","方土霖"
"292","4528","江興鍛"
"293","4529","昶洧"
"294","4530","宏易"
"295","4533","協易機"
"296","4534","慶騰"
"297","4535","至興"
"298","4541","晟田"
"299","4542","科嶠"
"300","4543","萬在"
"301","4549","桓達"
"302","4550","長佳"
"303","4554","橙的"
"304","4556","旭然"
"305","4609","唐鋒"
"306","4702","中美實"
"307","4706","大恭"
"308","4707","磐亞"
"309","4711","永純"
"310","4712","南璋"
"311","4714","永捷"
"312","4716","大立"
"313","4721","美琪瑪"
"314","4726","永昕"
"315","4728","雙美"
"316","4729","熒茂"
"317","4735","豪展"
"318","4736","泰博"
"319","4739","康普"
"320","4743","合一"
"321","4745","合富-KY"
"322","4747","強生"
"323","4754","國碳科"
"324","4762","三汰-KY"
"325","4803","VHQ-KY"
"326","4804","大略-KY"
"327","4806","昇華"
"328","4903","聯光通"
"329","4905","台聯電"
"330","4907","富宇"
"331","4908","前鼎"
"332","4909","新復興"
"333","4911","德英"
